subword,entropy
Au,1.0
commence,1.9886390656947142
##réa,1.1940044250166408
informe,1.2558703935176638
vide,0.4006182004251046
##è,0.894849834884426
##bres,1.2515392463045798
surface,2.4633663427540564
##î,0.9845285106245613
##me,0.4171134306798545
esprit,0.9709505944546686
##uva,0.5432186336219724
dessus,1.1081404537168864
eaux,0.3890937299373933
lumière,1.2565397601471098
vit,0.8907075911238053
bonne,0.337215997028424
##para,1.740485184056044
appel,1.3356434045415968
nuit,0.9227793657770645
Ainsi,1.2507221322260453
soir,0.7478634982172844
matin,0.8965938749201717
premier,1.5231035947435114
Qu,0.8072669913005267
ait,1.9548085067551977
étend,0.38309183298692934
##ue,2.370314690206612
##pare,3.0316583332448626
dessous,0.7845203517172629
ciel,0.7065962182182516
second,2.3248777259820175
ras,0.29396696704064534
##semble,1.1851502980477886
seul,1.06313300446246
sec,2.0459877886973494
para,2.764763828421167
##isse,2.163666984610164
ama,0.48778576678774754
Puis,1.0078498812675958
##ise,2.614227824074801
ver,0.8599114287939708
##dure,0.2114087210846928
herb,0.7548731304182543
portant,1.1218463454929
seme,2.501805139261589
arbres,0.31930155881859185
fruit,0.3253186846401748
##iers,0.9554117127807215
donnant,3.6791250054740843
espèce,1.1569928930566185
##isit,2.3780948084655122
troisième,1.6141172899081133
lu,2.4969635597474786
##mina,0.8884610165332877
##ires,2.292113145942503
##parer,0.7103199291200969
soient,0.527171468993538
signes,2.53342779829516
marque,0.8310090233384827
époque,3.0458385600881317
années,0.6456773318879289
serve,1.33175459479418
##cla,0.7856478201073512
grands,0.31943297813354726
petit,2.5410800563937515
étoiles,0.416040960270133
plaça,0.4960207906546939
quatrième,2.472983675973302
##duisent,0.30576530522707285
##onda,0.7361007017581287
animaux,0.9437139705786137
vivant,1.1472794853801191
oiseaux,2.1574197743121166
vol,0.8339194371059048
poissons,0.3770111752321959
meu,1.2170133912531507
##vent,4.215285577653725
##isir,1.105115270398673
oiseau,2.7119639149183286
ail,0.562772150746339
##nit,0.2875172950073886
So,1.3702241833387556
##ye,2.9116713104095693
fé,1.6708067466318828
##ds,2.4383286130822994
multi,1.7552797645979286
##pli,0.9772111605253044
##mp,0.8020122884655418
##lis,0.47361008473744143
cinquième,0.4441752077824421
##tail,2.1355432932473493
reptiles,4.158500160525717
Fa,0.8592256508911663
##ison,0.6232974916346032
image,1.4666575454062782
res,0.7927099486397966
##sem,2.1222597124077796
##bla,1.4142543984033809
domi,0.8267226617145373
##mpen,0.8813262486247151
##uje,0.8321248924074713
##tti,2.138450990977206
##nez,1.9578639630633812
animal,2.4703904792916234
donne,0.5423454409155161
arbre,1.2269796406607667
nou,1.0062370005897359
##rri,0.9747054976883872
##ture,0.563106278849732
soi,1.8929337735605902
##ffle,1.280761260958899
très,0.8423139156185325
sixième,2.3840195313852597
ach,0.6897733486085433
##ev,0.8551499197942501
armée,0.5192367807362197
##eva,1.5432140692385425
septième,0.7215369113478891
##euvre,1.3717323881329802
faite,0.7795687859789785
##osa,4.974787390111279
san,1.0728955991639058
##cti,1.0264743483632068
##fia,1.4753100619785608
faisant,2.4800383378198863
créé,0.8117318822100553
Lorsque,0.6947618489628782
aucun,0.5303627043159397
champs,0.9155648155195877
aucune,0.8316983747936142
ger,0.8863151886497351
##mai,0.7015537957080126
pl,1.9557664176304632
##eu,0.49089802947293604
##voir,3.2301092343708224
cult,4.356792365174685
sol,0.2815263949008539
forma,1.265546734119865
##ssi,1.7028380619507038
##ff,2.7048943984636367
##la,1.373449347708311
nar,4.1905988009206325
##ines,4.808265228288873
devint,1.786748785151011
planta,5.468541912161655
jardin,1.4448357274706818
##den,0.19174832720331725
ori,2.1589239154078057
mit,0.4613703893212236
formé,1.2251233741440304
##sser,3.375630944306459
ag,1.0094530841756286
##bles,2.080392020904337
voir,0.33815847377375313
bons,1.2957143817119774
connaissance,1.6413495025169176
Un,0.46467310515195914
fleuve,2.193210324493229
sorta,0.5131636391477735
##rose,0.26158817992382516
bras,0.80492238981215
Pi,2.3911488919957473
##sch,0.6944437663965869
ent,1.91389089477902
##our,1.5341950227944543
Ha,0.9635746975883481
trouve,0.6699905569651612
##um,0.5339651433986682
pierre,0.5299271164367371
##yx,3.3713611330795623
G,0.520779583761883
##ui,0.7967434375115268
##hon,1.9995440036166834
Cu,3.0155891537227704
Hi,2.5911496433072374
##éke,2.321928094887362
##ule,1.6695972028563888
Ass,1.1840528757272217
##yri,2.987898982928309
Eu,1.906853747218882
##rate,0.13747709190203816
prit,0.8440683944926151
garde,0.6031142755588571
cet,1.8133696904530325
ordre,1.838731390071329
aide,0.5205181920261966
sembla,0.5635546488705923
venir,0.5182971059429045
comment,1.5606240128559459
appelle,0.5247638935323929
##rait,0.7578846454476953
port,1.4402658030491917
noms,0.29731651913846124
Alors,0.9784493292686189
tombe,0.1644070840750111
prof,1.3385719436446248
##ond,0.8009748305241216
somme,1.3066086261405068
##il,0.9194074659466591
end,2.536426104615062
##or,1.6689042603611794
##mit,1.764401076831128
##ma,1.0748584647525348
chair,0.7219280948873623
place,0.8143218073607565
côte,4.5954341358193975
prise,2.470898046923142
am,0.43125826930793293
##ena,2.5285167166173457
fois,0.279102751273756
celle,2.0167333016444156
os,0.6904840701058923
pourquoi,0.35678268194091606
quitter,3.997199870207905
att,0.6407499866987764
##acher,1.7926227422681318
##vien,1.2132254638212936
##dron,0.44328382097334595
seule,1.4725295622104735
nu,0.8041120961753296
hon,1.115382008828975
##pent,0.7229223760061604
rus,2.8278710042879034
faits,0.9802043307620787
##lement,0.7832646969995546
Nous,0.9006378234056513
touch,0.10052007104653313
##ere,1.963119683558529
peur,0.5623856102217105
##uri,3.2446086817104507
##urre,3.4510640730354414
sait,0.6893343084530178
##vrir,0.49181826813512347
dieu,0.9415228279397103
##nais,0.9446692514132268
##sant,0.6687827059636494
vue,0.9193709637667693
##cieux,0.6563405313978264
intelligence,0.3962201041568696
mari,0.5047072975958882
connu,1.1853408380396204
feuilles,4.744787920079255
##gui,1.8298739307832006
fire,0.653501571901135
ceinture,0.8082763971289576
##dire,4.528474417342133
voix,0.7754380156129268
parco,0.42514932897630137
##urai,0.8093056261131369
ca,0.8408112567765522
loin,0.920881707836507
face,0.9351017362277108
O,1.7829869788679844
##ù,2.0407576930461504
eu,0.7812381196015901
Est,1.6768123842990927
mang,1.555382723377018
av,1.0902446727910495
##fend,0.591539215547777
mise,4.182091273248714
##quo,0.7637736150724632
##duit,0.6727232959556052
mau,1.0565065813365817
##dit,0.5429425983082489
marche,0.6719203239635883
ventre,1.0581814220820072
##tra,1.0371339908542658
ini,0.9575852141506178
##ié,1.2025298395176027
post,0.676753558298224
##érité,0.4990379089933826
##cra,1.5802600955454598
##ser,1.474354448251376
ble,1.9457924782584182
augmenter,4.592803214313219
##rance,0.48103493299875927
grosse,0.7414848675825031
