subword,entropy
fill,1.8258052181863589
##ijo,0.4609404605558915
##iej,1.660252376761546
To,0.5276934307894681
tra,0.4009552862772941
##bra,1.666313830134734
##ira,1.0144694415502062
##bulo,0.24307714393567215
sipërfaqe,2.223700252194501
##mner,0.7368811623166386
Fry,0.9182958340544896
##utu,2.4232196723355077
##ront,1.15649908711379
##rave,0.3490803590561083
U,0.6448845596794558
##ita,1.9724370964513633
nda,0.3405472955623242
qua,1.675292628789137
##ir,1.3762508231792006
nat,0.8484742174703358
##br,0.9736398121580219
##ng,0.9295732261825567
dita,1.182329852618581
Le,0.7986481308189279
kup,0.8623777084991537
##iel,2.011129648868262
##lore,1.215193420280017
ndaj,0.6709545276420006
pos,0.6585465228576862
dytë,0.7479821717985704
##lin,0.6538163256607387
##um,1.1682317904555006
##bull,0.39963920509319584
##fa,0.17438844276216514
##qet,1.321800827531973
ter,0.40712460094249003
##imin,0.6856702235092449
##jel,2.7633771208228906
##x,1.9198922753965784
far,1.5140239505376027
##mba,1.197817990872691
sec,0.6260156528574983
##ili,1.8989345910419684
sim,1.290823937028215
##oji,0.655916387126377
##bani,1.5183987067073073
##uta,0.534263112855217
##enda,0.4766218655074636
ket,0.6749790003418801
##dri,1.0424609316534907
##çu,1.2874029764845754
nata,0.3169680497581724
##nja,0.8349567732426716
dall,0.7479407377611136
st,1.802368141486303
##inë,0.7867740663740469
vitet,1.9520502096989107
##esi,0.675051080215619
##veri,1.3717785543534327
##sje,0.703995793240655
vo,0.7276497359907932
##gël,0.43399106738618115
gjithashtu,0.3122726590953506
##osi,0.7673624474723446
##sur,1.0233335893661724
##bus,1.925579668298773
num,0.8569179374453576
##jalla,0.31445356167867905
zog,0.7761639700933604
##dha,0.5208414144840883
##jor,0.192106124880724
##vi,0.2731612399373568
##zin,3.168825195241406
##pend,0.22230404922509847
##rue,2.675845165833616
##yt,0.9426877568647236
##shëm,0.6659492198275975
##zoni,2.3714189733586317
##nie,1.3278233393546128
##qan,4.991097249936496
bis,2.2287361275280073
##ërs,0.8951979411183617
##irat,4.959128606035614
Ta,1.4361459540664407
##lty,1.388967411065786
son,1.9664750481508806
sun,1.2316455628161707
