subword,entropy
La,0.8416851837628874
început,1.0631132687896576
P,0.6500224216483541
##tiu,1.1336619122163514
gol,1.0000616184211315
##ncu,2.1631113202013097
##tun,2.4578045735842955
Du,0.31193781816020755
##hul,0.6215887413173548
##su,1.6024549752641706
##pra,0.7125892116641664
##elor,0.6074318567166416
##min,1.4274842160369603
##mina,0.36893984797275536
bună,0.38773780114654954
numit,0.33988229181313157
Astfel,0.8859757983542986
apoi,0.16588422659137472
di,0.4331604001230074
##mine,0.7856865483426533
##tin,0.7295705501913249
##dere,1.3280107677585207
##part,1.076067332068944
##des,2.599905988890053
##up,1.695070149276518
##der,2.759029117932967
doua,1.8296481225555432
##rului,1.8496284711879931
ara,0.8232447303953869
us,0.20886276059742687
##ada,2.629441107239947
##po,1.4896306415264942
verde,0.29885863853486605
rod,1.369179888571786
##itori,1.4874728536638828
soi,0.869027889192979
##ător,0.5334204494691721
sem,1.525451483355111
##rem,0.9469939317594108
anii,2.5724958371799636
##uje,0.6934259286946778
doi,0.4774485733055554
mari,0.2813764255077688
anu,1.1807059611373851
mic,0.6125343734305645
stel,2.3511154409271455
##zat,0.6320447673984706
pat,0.9007938382328439
vie,0.6951669340347549
##uito,3.112832931867622
##boa,1.8309661427124546
pas,1.7165042898667926
##ari,2.351840579750434
##pat,0.9845984937559698
##nta,1.1417738530250825
##mul,1.6457404976402616
##ple,0.6915519209595266
##ească,0.8880864319720901
cinc,1.5922694100646195
vite,0.9709505944546686
fia,0.8726596311987649
##rel,2.4087386319296336
chip,0.16425036836291018
##em,1.708733750618846
##area,1.0533218835947071
No,0.5632669766497548
##eia,0.7085120974517745
##pune,2.418279612950678
##gul,0.5961438515608011
hra,1.7873727046955774
##tur,2.1738973905605317
##rilor,1.7701010469180614
##lare,0.39278181717891697
uit,0.6259028666720677
##cus,0.6312406915740932
foarte,0.3751186459233235
##ştir,1.0915850880054665
##cra,1.9348310136692188
od,0.29738259254804805
##ih,0.2943632562334412
##nit,0.9663288714268364
##fin,0.7099757024503605
##dise,4.242652768364262
cop,0.7211934193051672
##cel,0.6840406025120671
##col,2.1686805582529596
fiind,1.260850230739199
##duse,0.582130899556828
Ci,0.5878517362154847
##dica,0.430931538789175
ud,0.4021529682663818
##lat,1.4693926508510815
##let,2.303349603174928
viu,0.6434516565422722
##dit,0.6181458793747446
##din,1.6694223013517948
Eden,0.08579342082949218
##to,1.1824176657804029
##cm,2.3449306038221223
##ise,1.3192119875637824
##sar,4.1008753179372635
fel,0.781194433101354
vedere,0.9344012584982307
##dini,0.7405205625748011
Un,1.1584758008060199
##dina,3.417051650567416
bra,2.5350434362478502
Pi,2.2299885525801235
##son,4.932507934275307
##con,1.5795384256988578
##jo,0.7657471373024942
Ha,1.5396848880522664
##vila,0.4378397802737437
aur,0.4955944011993987
pia,0.9295951063850294
##tră,2.2261028511479144
oni,5.447931576402684
##x,2.551138910005975
doilea,2.0765505326121034
##hi,0.9263387206458784
##hon,0.4320075804514724
Hi,0.7021554726244299
##rge,0.9234951080283059
##ritu,0.1378479441317886
##iri,2.1371533778653573
Al,1.29164777987178
##fra,1.114130573289525
##zea,2.3445779910057105
Po,2.300970666568468
##nci,0.7455686324455554
##cere,1.3464250377637674
mur,1.6962267919269025
negre,0.39841344627892
sing,0.893522964421853
##utor,1.9936825554482187
pot,1.896584209201271
##rivit,1.5776390850651758
##mpu,0.787337995280079
vad,0.47149264830040455
nume,0.22337795632387775
##rei,0.467296871007761
numele,0.18724646903661654
##rive,3.8567463224245704
som,2.3233995076066463
##nc,1.2952558807601289
ado,2.4996981431844145
##rmi,2.7235489685727137
una,1.195421444771428
coast,0.4194492113713735
##chis,2.007873999932584
carne,2.1710734969721552
Din,0.5276707408772109
luas,0.7353353628303155
##eie,1.580639205376299
os,0.6671930430413988
oa,0.36135914247144496
##sele,1.034982456008453
Ea,0.4903191053445808
num,2.1967765917039217
##ace,1.571586827252587
##sa,0.7216935278412033
mama,0.4617308878096469
##pi,1.2146236424783359
##vas,0.9216708462875216
Om,0.6018731367666179
##ndo,0.839294055445252
go,3.012397547196387
##ar,0.68212697996518
##pele,3.257915985985395
##ret,0.16660557914173732
O,0.33492743932347513
##mii,1.6106785199695497
Fe,0.692353472302685
##mei,0.4030395526109404
##pel,4.037789522874546
Put,1.739556433961966
rodu,0.47626342729914406
##mil,3.8292604344310965
ati,1.6994855980890273
Hot,2.6305739616207737
##tie,0.5940196406592121
##chid,1.0426649653837023
##os,0.6066296966194688
##cut,0.6200975316956109
##vit,0.48368493844694527
dor,0.4901120210607903
cui,0.7658271949026758
mint,0.5412846816100663
##tului,2.162878628001356
cunoscut,0.29108677955432966
##sut,2.058130720843658
lao,0.39903742850040114
##lalt,1.8847931358599475
smo,2.7110867024042418
##chin,0.428139679714989
glas,1.769927141683423
##bla,1.556369433985936
##cun,0.35897206409470084
Fa,1.7450829286498135
